index,label,pred,cycles,roundtrip_ms,raw
90,3,3,11305929,490.9588230002555,PRED=3 CYCLES=11305929
91,6,6,10811240,472.61508999872603,PRED=6 CYCLES=10811240
92,9,9,10660307,466.85120000256575,PRED=9 CYCLES=10660307
93,3,3,11324909,491.54299500150955,PRED=3 CYCLES=11324909
94,1,1,10226104,450.84559899987653,PRED=1 CYCLES=10226104
95,4,4,12120864,520.9264090008219,PRED=4 CYCLES=12120864
96,1,1,9520543,424.5841529991594,PRED=1 CYCLES=9520543
97,7,7,11225951,487.77544800032047,PRED=7 CYCLES=11225951
98,6,6,11020949,480.1792190010019,PRED=6 CYCLES=11020949
99,9,9,11278621,489.901065997401,PRED=9 CYCLES=11278621
